MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
BAKUN,2015,IRRIGATED,LETTUCE,NOV,2,3.0,30,10.0,31.0
BAKUN,2015,IRRIGATED,LETTUCE,DEC,2.11,2.0,20,10.0,192.1
BAKUN,2015,IRRIGATED,CAULIFLOWER,JAN,5,5.0,55,11.0,41.6
BAKUN,2015,IRRIGATED,CAULIFLOWER,FEB,5,5.0,55,11.0,47.9
BAKUN,2015,IRRIGATED,CAULIFLOWER,MAR,5,5.0,55,11.0,75.3
BAKUN,2015,IRRIGATED,CAULIFLOWER,APR,5,5.0,55,11.0,171.1
BAKUN,2015,IRRIGATED,CAULIFLOWER,MAY,5,5.0,55,11.0,197.5
BAKUN,2015,IRRIGATED,CAULIFLOWER,JUN,5,5.0,55,11.0,404.7
BAKUN,2015,IRRIGATED,CAULIFLOWER,JUL,5,5.0,55,11.0,884.6
BAKUN,2015,IRRIGATED,CAULIFLOWER,AUG,5,5.0,55,11.0,684.4
BAKUN,2015,IRRIGATED,CAULIFLOWER,SEP,5,5.0,55,11.0,368.9
BAKUN,2015,IRRIGATED,CAULIFLOWER,OCT,5,5.0,55,11.0,658.2
BAKUN,2015,IRRIGATED,CAULIFLOWER,NOV,5,5.0,55,11.0,31.0
BAKUN,2015,IRRIGATED,CAULIFLOWER,DEC,5,5.0,55,11.0,192.1
BAKUN,2015,IRRIGATED,BROCCOLI,JAN,0.98,5.0,55,11.0,41.6
BAKUN,2015,IRRIGATED,BROCCOLI,FEB,1,5.0,55,11.0,47.9
BAKUN,2015,IRRIGATED,BROCCOLI,MAR,1.73,0.98,7.84,8.0,75.3
BAKUN,2015,IRRIGATED,BROCCOLI,APR,1.79,1.0,8,8.0,171.1
BAKUN,2015,IRRIGATED,BROCCOLI,MAY,1.81,1.73,13.84,8.0,197.5
BAKUN,2015,IRRIGATED,BROCCOLI,JUN,5,1.79,14.32,8.0,404.7
BAKUN,2015,IRRIGATED,BROCCOLI,JUL,5,1.81,14.48,8.0,884.6
BAKUN,2015,IRRIGATED,BROCCOLI,AUG,5,5.0,55,11.0,684.4
BAKUN,2015,IRRIGATED,BROCCOLI,SEP,1.04,5.0,55,11.0,368.9
BAKUN,2015,IRRIGATED,BROCCOLI,OCT,1.84,5.0,55,11.0,658.2
BAKUN,2015,IRRIGATED,BROCCOLI,NOV,1.01,1.04,10.4,10.0,31.0
